"ads","Название","price","Статус","date","Адрес","Застройщик","Ссылка","class","floor","ceiling","structure","finishing","Количество.квартир","kitchen","heating","Лифт","Фасад","parking","Квартир.в.продаже","city"
110,"ЖК DOMBYRA в Астане",NA,"Строящийся","IV квартал 2024 г.","Астана, Алматы р-н, ул. Шамши Калдаяков, 27","SVOYDOM","https://krisha.kz/complex/show/astana/dombyra/","comfort","9-12 этажей","3 м","brick","pre-finish",356,"na","central","пассажирский","керамические панели","surface","Не указано","astana"
111,"ЖК Eco Park в Астане",440000,"Строящийся","IV квартал 2024 г.","Астана, Нура р-н, ул. Сыганак, 4","Nur Astana Kurylys","https://krisha.kz/complex/show/astana/ecopark/","comfort","9-12-18 этажей","3 м","monolithic","shell",655,"na","central","грузовой, пассажирский","Не указано","surface","334","astana"
112,"ЖК Energy в Астане",390000,"Строящийся","II квартал 2024 г.","Астана, Нура р-н, ул. Ч.Айтматов, 71","ИП Застройщик","https://krisha.kz/complex/show/astana/energy/","comfort","12 этажей","3 м","brick","shell",100,"discrete","central","Не указано","клинкерный кирпич, hpl-панели","surface","100","astana"
113,"ЖК Evolution в Астане",540000,"Строящийся","IV квартал 2024 г.","Астана, Нура р-н, ул. Туран, 39","BAZIS–А","https://krisha.kz/complex/show/astana/evolution/","business","13-16-19 этажей","3 м","monolithic","shell",80,"na","central","пассажирский","фиброцементные панели, клинкерный кирпич","underground","80","astana"
114,"ЖК Tumar Exclusive в Астане",650000,"Строящийся","II квартал 2024 г.","Астана, Алматы р-н, ул. Аскара Токпанова","Tumar Group","https://krisha.kz/complex/show/astana/tumarexclusive/","elite","1 этаж","3.3 м","monolithic","pre-finish",184,"na","central","грузопассажирский","вентилируемый фасад","underground","184","astana"
115,"ЖК Gasyr в Астане",NA,"Строящийся","III квартал 2024 г.","Астана, пересечение пр. Улы Дала и ул. Айтматова","Sensata Group ТОО","https://krisha.kz/complex/show/astana/gasyr/","comfort","9 этажей","3 м","monolithic","shell",270,"discrete","central","грузопассажирский","Не указано","surface","270","astana"
116,"ЖК Geneva в Астане",3e+05,"Строящийся","Первая очередь - I квартал 2024 г.Вторая очередь - III квартал 2024 г.Третья очередь - IV квартал 2024 г.Четвертая очередь - I квартал 2025 г.","Астана, Алматы р-н, ул. Каршыга Ахмедьярова, 2","G-Park","https://krisha.kz/complex/show/nur-sultan/zheneva/","comfort","12 этажей","3 м","brick","pre-finish",473,"discrete","central","грузопассажирский","Не указано","нет","Не указано","astana"
117,"ЖК Гималаи в Астане",330000,"Строящийся","II квартал 2024 г.","Астана, Алматы р-н, ул. Нажмиденова","Beles","https://krisha.kz/complex/show/nur-sultan/gimalai/","comfort","12 этажей","2.7 м","brick","pre-finish",660,"discrete","central","пассажирский, грузопассажирский","облицовочный кирпич","surface","85","astana"
118,"ЖК Tumar Gold в Астане",485000,"Строящийся","I квартал 2024 г.","Астана, Алматы р-н, пересечения проспекта Тәуелсіздік и улицы Шарля де Голля","Tumar Group","https://krisha.kz/complex/show/nur-sultan/tumargold/","comfort","9-15-16-17 этажей","3 м","monolithic","shell",298,"discrete","central","грузопассажирский","Не указано","underground","188","astana"
119,"ЖК Golden Residence в Астане",580000,"Строящийся","II квартал 2024 г.","Астана, Алматы р-н, ул. Сагадата Нурмагамбетова, 32/1","Асем Кала","https://krisha.kz/complex/show/astana/goldenresidence/","elite","9-13 этажей","3.3 м","monolithic","shell",30,"discrete","central","грузовой, пассажирский","фиброцементные панели","both","30","astana"
120,"ЖК Grand Park в Астане",380000,"Строящийся","IV квартал 2024 г.","Астана, Есильский р-н, ул Е778 участок 21/2","Grand Park A","https://krisha.kz/complex/show/astana/grandpark/","comfort","5 этажей","3 м","brick","pre-finish",444,"discrete","autonomous","грузопассажирский","клинкерный кирпич, облицовочный кирпич","surface","80","astana"
121,"ЖК Happy Land в Астане",290000,"Строящийся","III квартал 2024 г.","Астана, Нура р-н, ул. Коргалжинское шоссе, 111а","Uidomhome","https://krisha.kz/complex/show/astana/happyland/","comfort","5 этажей","2.7 м","brick","shell",125,"discrete","central","Не указано","декоративная штукатурка","na","110","astana"
122,"ЖК Imran в Астане",320000,"Строящийся","IV квартал 2024 г.","Астана, Алматы р-н, ул. Нажимеденова, 29","Nomad Group","https://krisha.kz/complex/show/nur-sultan/imran/","comfort","9 этажей","2.85 м","monolithic","pre-finish",430,"discrete","central","Не указано","фиброцементные панели","surface","Не указано","astana"
123,"ЖК JAISAN NS в Астане",260000,"Строящийся","I квартал 2024 г.","Астана, Есильский р-н, мкр. Уркер, ул. Кургалжынское шоссе, уч. 86","Маяк ЛТД","https://krisha.kz/complex/show/astana/jaisan/","comfort","5 этажей","3 м","brick","pre-finish",215,"discrete","autonomous","Не указано","облицовочный кирпич","underground","200","astana"
124,"ЖК Satty Jol в Астане",384000,"Строящийся","IV квартал 2024 г.","Астана, Есильский р-н, ул. Шоссе Коргалжын, 31","STROIKLASS","https://krisha.kz/complex/show/nur-sultan/sattyjol/","comfort","9 этажей","3 м","brick","pre-finish",192,"discrete","central","пассажирский","декоративная штукатурка","underground","Не указано","astana"
125,"ЖК Колос в Астане",NA,"Строящийся","IV квартал 2024 г.","Астана, Есильский р-н, Е-314, строение 22","ТОО Алгыс Инжиниринг","https://krisha.kz/complex/show/nur-sultan/kolos/","comfort","4 этажа","3 м","brick","pre-finish",59,"discrete","autonomous","пассажирский","облицовочный кирпич","underground","49","astana"
126,"ЖК Kolsai в Астане",336000,"Строящийся","Первая очередь - I квартал 2024 г.Вторая очередь - III квартал 2024 г.","Астана, ул. Чингиза Айтматова, 77","SVOYDOM","https://krisha.kz/complex/show/astana/kolsai/","comfort","10-12 этажей","3 м","brick","shell",454,"na","central","грузопассажирский","фиброцементные панели, керамический кирпич","surface","Не указано","astana"
127,"ЖК ЛЕЯ-Уют в Астане",NA,"Строящийся","2024 г.","Астана, Сарыарка р-н, ул. Карталинская, 29/1","Лея","https://krisha.kz/complex/show/nur-sultan/leyauyut/","comfort","10 этажей","2.85 м","monolithic","shell",198,"na","na","пассажирский","Не указано","underground","Не указано","astana"
128,"ЖК Megapolis в Астане",432600,"Строящийся","I квартал 2024 г.","Астана, Алматы р-н, квадрат пересечении улиц Азербаева, Нажимеденова, Жумабаева","Global Expert Development","https://krisha.kz/complex/show/nur-sultan/megapolis/","comfort","9 этажей","2.7 м","monolithic","pre-finish",450,"discrete","central","грузопассажирский","фиброцементные панели","underground","160","astana"
129,"ЖК Novopolis в Астане",3e+05,"Строящийся","II квартал 2024 г.","Астана, Сарыарка р-н, ул. Караменде би Шакаулы, 13","Dezi Group","https://krisha.kz/complex/show/nur-sultan/novopolis/","comfort","10 этажей","2.7 м","brick","shell",252,"discrete","central","грузопассажирский","Не указано","surface","80","astana"
130,"ЖК Zhana Omyr в Астане",427000,"Строящийся","I квартал 2024 г.","Астана, Есильский р-н, пр. Аль Фараби (бывшая ул. 38) на пересечении с ул. Бухар Жырау.","SVOYDOM","https://krisha.kz/complex/show/astana/zhanaomir/","comfort","12 этажей","3 м","brick","shell",275,"discrete","central","грузовой, пассажирский","облицовочный кирпич","na","275","astana"
131,"ЖК ONAI в Астане",413000,"Строящийся","Первая очередь - I квартал 2024 г.Вторая очередь - III квартал 2024 г.","Астана, Нура р-н, ул. Абикена Бектурова, 11","BI Group","https://krisha.kz/complex/show/astana/onai/","comfort","9-16 этажей","2.65 м","monolithic","shell",300,"na","central","пассажирский","Не указано","surface","Не указано","astana"
132,"ЖК The One в Астане",NA,"Строящийся","II квартал 2024 г.","Астана, Есильский р-н, ул. Динмухамеда Кунаева, 8а","BAZIS–А","https://krisha.kz/complex/show/astana/theone/","elite","18 этажей","4.2 м","monolithic","shell",24,"na","central","пассажирский","Не указано","both","Не указано","astana"
133,"ЖК Парус в Астане",420000,"Строящийся","IV квартал 2024 г.","Астана, Алматы р-н, ул. Майлина, 6","Акмоластрой","https://krisha.kz/complex/show/astana/parus/","comfort","12 этажей","3 м","monolithic","pre-finish",112,"na","na","Не указано","Не указано","na","Не указано","astana"
134,"ЖК PRIDE в Астане",320000,"Строящийся","I квартал 2024 г.","Астана, Есильский р-н, мкр. Тельмана","Rost Group Company","https://krisha.kz/complex/show/nur-sultan/pride/","economy","7 этажей","3 м","brick","shell",137,"discrete","central","Не указано","облицовочный кирпич","na","137","astana"
135,"ЖК Prime в Астане",535000,"Строящийся","I квартал 2024 г.","Астана, Есильский р-н, просп. ​Аль-Фараби, 35","BI Group","https://krisha.kz/complex/show/astana/prime/","business","8-12 этажей","3.45 м","monolithic","pre-finish",199,"na","na","пассажирский","Не указано","surface","Не указано","astana"
136,"ЖК Qobyz в Астане",338000,"Строящийся","III квартал 2024 г.","Астана, ул. Шамши Калдаяков, 25","SVOYDOM","https://krisha.kz/complex/show/astana/qobyz/","comfort","9-12 этажей","3 м","brick","pre-finish",293,"na","na","пассажирский, грузопассажирский","керамический кирпич","surface","Не указано","astana"
137,"ЖК RAUDA в Астане",404000,"Строящийся","III квартал 2024 г.","Астана, Нура р-н, Проспект Туран, 71","ISMA Invest","https://krisha.kz/complex/show/astana/rauda/","comfort","15 этажей","3 м","monolithic","pre-finish",232,"both","central","грузовой, пассажирский","фиброцементные панели","surface","232","astana"
138,"ЖК Safar в Астане",325000,"Строящийся","Первая очередь - II квартал 2024 г.Вторая очередь - IV квартал 2024 г.","Астана, Алматы р-н, ул. А83, участок 11","AIZ QURYLYS ТОО","https://krisha.kz/complex/show/astana/safar/","comfort","9 этажей","2.7 м","brick","shell",202,"discrete","central","Не указано","Не указано","surface","150","astana"
139,"ЖК SAFIA в Астане",332500,"Строящийся","III квартал 2024 г.","Астана, Есильский р-н, ул. Казыбек Би, 21","Nurali Stroy","https://krisha.kz/complex/show/astana/safia/","comfort","11 этажей","3.2 м","monolithic","pre-finish",260,"discrete","central","грузовой, пассажирский","Не указано","surface","74","astana"
140,"ЖК Safuan в Астане",320000,"Строящийся","IV квартал 2024 г.","Астана, Есильский р-н, пересечение улиц Улы Дала и Е669","Beles","https://krisha.kz/complex/show/astana/safuan/","comfort","10 этажей","2.7 м","brick","pre-finish",396,"discrete","central","грузопассажирский","облицовочный кирпич","na","396","astana"
141,"ЖК Sharyn в Астане",335000,"Строящийся","I квартал 2024 г.","Астана, Сарыарка р-н, ул. Чингиз Айтматов, 77/6","SVOYDOM","https://krisha.kz/complex/show/astana/sharyn/","comfort","12 этажей","3 м","brick","shell",454,"discrete","central","пассажирский, грузопассажирский","облицовочный кирпич","na","454","astana"
142,"ЖК Silver в Астане",295000,"Строящийся","II квартал 2024 г.","Астана, ул. Е126 - ул. Е435, 5","ALMATY DEVELOPMENT COMPANY","https://krisha.kz/complex/show/nur-sultan/silver/","economy","9 этажей","2.7 м","monolithic","pre-finish",303,"both","na","Не указано","фиброцементные панели, гранит","нет","Не указано","astana"
143,"Клубный дом Сирокко в Астане",250000,"Строящийся","2024 г.","Астана, Есильский р-н, ул. Айтматова, вблизи набережной","Компания Halyk Stroy","https://krisha.kz/complex/show/nur-sultan/siroccoclub/","business","7 этажей","3 м","monolithic","shell",350,"discrete","central","грузопассажирский","Не указано","surface","100","astana"
144,"ЖК ZHANA URPAQ в Астане",NA,"Строящийся","III квартал 2024 г.","Астана, Есильский р-н, ул. Аль-Фараби проспект, 7/2","SVOYDOM","https://krisha.kz/complex/show/astana/zhanaurpaq/","comfort","7-12 этажей","3 м","brick","pre-finish",265,"na","central","Не указано","Не указано","na","Не указано","astana"
145,"ЖК Washington в Астане",450000,"Строящийся","III квартал 2024 г.","Астана, Есильский р-н, ул. ​Алихан Бокейхан, 13","G-Park","https://krisha.kz/complex/show/nur-sultan/washington/","comfort","10 этажей","3 м","brick","pre-finish",594,"both","central","Не указано","облицовочный кирпич","underground","Не указано","astana"
146,"ЖК ZAMAN в Астане",426000,"Строящийся","I квартал 2024 г.","Астана, Есильский р-н, 23-ая улица,7 стр","SVOYDOM","https://krisha.kz/complex/show/astana/zaman/","comfort","12 этажей","3 м","brick","shell",601,"discrete","central","Не указано","облицовочный кирпич","surface","601","astana"
147,"ЖК Zangar в Астане",525000,"Строящийся","II квартал 2024 г.","Астана, Есильский р-н, ул. Улы дала, 37","BAZIS–А","https://krisha.kz/complex/show/astana/zangar/","business","9-12-16 этажей","3 м","monolithic","shell",27,"na","central","пассажирский","фиброцементные панели","underground","27","astana"
148,"ЖК Zurich в Астане",3e+05,"Строящийся","IV квартал 2024 г.","Астана, ул. Жумекен Нажимеденов, 38","G-Park","https://krisha.kz/complex/show/astana/zurich/","comfort","12 этажей","3 м","brick","pre-finish",638,"discrete","central","грузовой, пассажирский","клинкерный кирпич","na","Не указано","astana"
149,"Коттеджный городок Aspan Royal Park в Астане",1400000,"Строящийся","IV квартал 2023 г.","Астана, ул. Улы Дала - ул. Ч. Айтматова","Ellington Hills","https://krisha.kz/complex/show/astana/aspanroyalpark/","elite","2-3 этажа","8 м","brick","shell",136,"discrete","central","Не указано","клинкерный кирпич","surface","48","astana"
150,"ЖК AUEN в Астане",4e+05,"Строящийся","Первая очередь - IV квартал 2023 г.Вторая очередь - III квартал 2024 г.Третья очередь - I квартал 2025 г.","Астана, Сарыарка р-н, пересечение ул. Жангельдина и пр. Сарыарка (Правый берег)","Tevis Group","https://krisha.kz/complex/show/nur-sultan/auen/","comfort","9 этажей","3 м","brick","shell",336,"discrete","central","грузопассажирский","облицовочный кирпич","underground","76","astana"
151,"ЖК Улы Дала Авеню в Астане",403000,"Строящийся","Первая очередь - IV квартал 2023 г.Вторая очередь - I квартал 2024 г.","Астана, Есильский р-н, просп. Улы Дала угол ул. Толе Би","Tumar Group","https://krisha.kz/complex/show/ulydalaavenue/","comfort","9 этажей","3 м","monolithic","pre-finish",293,"discrete","central","грузопассажирский","фиброцементные панели","underground","293","astana"
152,"ЖК AVIATOR ll в Астане",295000,"Строящийся","IV квартал 2023 г.","Астана, Есильский р-н, ул. Сарытогай, 13","AIZ QURYLYS ТОО","https://krisha.kz/complex/show/astana/aviator/","economy","7 этажей","2.7 м","brick","shell",161,"discrete","central","Не указано","Не указано","нет","40","astana"
153,"ЖК Azure в Астане",429000,"Строящийся","II квартал 2023 г.","Астана, Алматы р-н, ул. Тауелсиздик, уч.60","Qazaq stroy TOO","https://krisha.kz/complex/show/astana/azure/","comfort","5 этажей","3 м","monolithic","shell",382,"discrete","central","грузовой, пассажирский","фиброцементные панели","both","345","astana"
154,"ЖК Baitas в Астане",480000,"Строящийся","IV квартал 2023 г.","Астана, просп. Тауелсиздик - ул. Калба","Tumar Group","https://krisha.kz/complex/show/astana/baitas/","business","9-12-16 этажей","3 м","monolithic","pre-finish",298,"discrete","central","грузопассажирский","натуральный камень, гранит","underground","298","astana"
155,"ЖК Besterek в Астане",413000,"Строящийся","Первая очередь - III квартал 2021 г.Вторая очередь - II квартал 2022 г.Третья очередь - I квартал 2022 г.Четвертая очередь - III квартал 2023 г.","Астана, Есильский р-н, ул. Касым Кайсенова - ул. Фариза Онгарсынова","BI Group","https://krisha.kz/complex/show/nur-sultan/besterek/","comfort","8-9 этажей","3 м","monolithic","pre-finish",256,"na","na","пассажирский","Не указано","surface","185","astana"
156,"ЖК Cosmic City в Астане",315000,"Строящийся","Первая очередь - II квартал 2021 г.Вторая очередь - II квартал 2025 г.","Астана, Есильский р-н, просп. Туран, 89","ТОО King Development","https://krisha.kz/complex/show/nur-sultan/cosmiccity/","comfort","7-11 этажей","2.75 м","monolithic","pre-finish",362,"na","central","грузопассажирский","Не указано","surface","Не указано","astana"
157,"ЖК Europe City в Астане",770000,"Строящийся","IV квартал 2023 г.","Астана, Есильский р-н, ул. Акмешит, 1","ORDA INVEST","https://krisha.kz/complex/show/nur-sultan/europecity/","elite","18-25 этажей","3 м","monolithic","shell",520,"discrete","central","грузовой, пассажирский","hpl-панели","underground","Не указано","astana"
158,"Бигвилль Nexpo Classic в Астане",580000,"Строящийся","Первая очередь - II квартал 2023 г.Вторая очередь - III квартал 2024 г.","Астана, ул. Турар Рыскулов, 1","BI Group","https://krisha.kz/complex/show/nur-sultan/nexpoclassic/","business","12-14-20 этажей","3 м","monolithic","pre-finish",389,"discrete","central","пассажирский, грузопассажирский","клинкерный кирпич, hpl-панели","surface","Не указано","astana"
159,"ЖК Kerey Comfort в Астане",380000,"Строящийся","III квартал 2023 г.","Астана, Есильский р-н, ул. Е 181","Alua Capital","https://krisha.kz/complex/show/nur-sultan/kereycomfort/","comfort","9 этажей","3 м","brick","pre-finish",157,"discrete","central","грузопассажирский","керамогранит, керамический кирпич","surface","120","astana"
160,"ЖК Rio de Janeiro в Астане",260000,"Строящийся","Первая очередь - II квартал 2022 г.Вторая очередь - II квартал 2023 г.Третья очередь - I квартал 2025 г.","Астана, Сарыарка р-н, ул. Бейбарыс Султан, 25","G-Park","https://krisha.kz/complex/show/nur-sultan/rio-de-janeiro/","economy","12 этажей","2.7 м","brick","pre-finish",1397,"both","central","грузовой, пассажирский","облицовочный кирпич","surface","Не указано","astana"
161,"ЖК Diana в Астане",285000,"Строящийся","Первая очередь - II квартал 2023 г.Вторая очередь - III квартал 2024 г.","Астана, Алматы р-н, пересечение улиц Айнакол и А195","ТОО Granite","https://krisha.kz/complex/show/nur-sultan/diana/","comfort","9-17-21 этаж","2.85 м","monolithic","pre-finish",460,"both","autonomous","грузопассажирский","декоративная штукатурка","underground","Не указано","astana"
162,"Таунхаус Ferdinand в Астане",1100000,"Строящийся","IV квартал 2023 г.","Астана, Есильский р-н, район пересечения улиц Е321 и Е464","ТОО ""ТД Алькор KZ (КЗ)""","https://krisha.kz/complex/show/nur-sultan/ferdinand/","elite","3 этажа","4 м","brick","pre-finish",14,"discrete","autonomous","Не указано","натуральный камень","na","3","astana"
163,"ЖК Green House Premium в Астане",425000,"Строящийся","Первая очередь - IV квартал 2023 г.Вторая очередь - IV квартал 2024 г.","Астана, Алматы р-н, ул. Ш.Калдаякова угол ул. С.Нурмагамбетова","DM Invest Stroy","https://krisha.kz/complex/show/nur-sultan/greenhousepremium/","business","8-9 этажей","3 м","brick","shell",304,"discrete","central","грузопассажирский","фиброцементные панели, облицовочный кирпич","surface","Не указано","astana"
164,"ЖК Koktobe Hills в Астане",250000,"Строящийся","II квартал 2023 г.","Астана, Есильский р-н, микрарайон Уркер, ул. Умбетей жырау - ул. Узак батыр","Rost Group Company","https://krisha.kz/complex/show/nur-sultan/koktobehills/","economy","3 этажа","2.7 м","brick","shell",1260,"na","na","Не указано","Не указано","surface","Не указано","astana"
165,"ЖК Sati Park House в Астане",715000,"Строящийся","II квартал 2023 г.","Астана, ул. Мангилик Ел - ул. Е497","София Инвест","https://krisha.kz/complex/show/nur-sultan/satiparkhouse/","elite","8 этажей","3 м","brick","shell",100,"both","na","грузопассажирский","травертин","underground","Не указано","astana"
166,"ЖК Turan House в Астане",3e+05,"Строящийся","IV квартал 2023 г.","Астана, Есильский р-н, ул. E103 участок 5","Комфортный дом 2021","https://krisha.kz/complex/show/astana/turanhouse/","comfort","5 этажей","2.7 м","brick","shell",240,"discrete","central","Не указано","облицовочный кирпич","нет","240","astana"
167,"ЖК Jetisu.Lepsi в Астане",418108,"Строящийся","Первая очередь - III квартал 2022 г.Вторая очередь - IV квартал 2022 г.Третья очередь - II квартал 2023 г.","Астана, Есильский р-н, проспект Улы Дала","BI Group","https://krisha.kz/complex/show/nur-sultan/jetisulepsi/","comfort","8-16 этажей","3 м","monolithic","pre-finish",133,"discrete","central","пассажирский","Не указано","underground","133","astana"
168,"ЖК Kerim в Астане",280000,"Строящийся","III квартал 2023 г.","Астана, Алматы р-н, Пересечение улиц А.Байтурсынова и А-62","ОрдаСтройИнжиниринг","https://krisha.kz/complex/show/nur-sultan/kerim/","comfort","8 этажей","3 м","monolithic","pre-finish",392,"discrete","central","грузовой, пассажирский","фиброцементные панели","underground","Не указано","astana"
169,"ЖК Кокшебель в Астане",280000,"Строящийся","I квартал 2023 г.","Астана, ул. Косшыгулулы, 15","Seed Development","https://krisha.kz/complex/show/nur-sultan/kokshebel/","comfort","9 этажей","2.7 м","monolithic","shell",195,"discrete","central","грузопассажирский","фиброцементные панели","na","130","astana"
170,"ЖК Лея Коктал в Астане",NA,"Строящийся","IV квартал 2023 г.","Астана, Сарыарка р-н, ул. ​Аккорган, 2а стр","Лея","https://krisha.kz/complex/show/astana/leya-koktal/","business","3 этажа","3.3 м","brick","shell",42,"discrete","na","Не указано","Не указано","нет","Не указано","astana"
171,"ЖК ЛЕЯ-Север в Астане",210000,"Строящийся","IV квартал 2023 г.","Астана, Алматы р-н, ул. Мустафа Шокай, стр. 2","Лея","https://krisha.kz/complex/show/astana/leya-sever/","economy","9 этажей","3 м","monolithic","shell",142,"na","na","пассажирский","Не указано","underground","Не указано","astana"
172,"ЖК Легенда в Астане",330000,"Строящийся","IV квартал 2023 г.","Астана, Сарыарка р-н, 189я улица, стр 102","ПСК Клен","https://krisha.kz/complex/show/astana/legenda/","comfort","9 этажей","2.7 м","monolithic","pre-finish",280,"discrete","central","Не указано","Не указано","na","280","astana"
173,"ЖК MADI в Астане",379000,"Строящийся","III квартал 2023 г.","Астана, по ул.Сыганак","Mabex Trade LTD","https://krisha.kz/complex/show/nur-sultan/madi/","comfort","9 этажей","3 м","brick","shell",144,"discrete","central","грузопассажирский","фиброцементные панели","surface","144","astana"
174,"Бигвилль Nexpo Union в Астане",558000,"Строящийся","Первая очередь - II квартал 2023 г.Вторая очередь - IV квартал 2024 г.","Астана, Есильский р-н, Проспект Мангилик Ел, 61","BI Group","https://krisha.kz/complex/show/nur-sultan/nexpounion/","business","12-22-28 этажей","3 м","monolithic","pre-finish",299,"na","central","грузовой, пассажирский","Не указано","surface","63","astana"
175,"ЖК ONYX в Астане",320000,"Строящийся","Первая очередь - III квартал 2022 г.Вторая очередь - III квартал 2023 г.","Астана, ул. Айтматова 59","JSN Stroy","https://krisha.kz/complex/show/astana/onyx2/","comfort","12 этажей","3 м","brick","pre-finish",163,"discrete","central","пассажирский, грузопассажирский","фиброцементные панели","surface","135","astana"
176,"ЖК Otbasy в Астане",3e+05,"Строящийся","IV квартал 2023 г.","Астана, Есильский р-н, E-652, стр 56","KAZ CAPITAL INVEST","https://krisha.kz/complex/show/astana/otbasy/","comfort","9 этажей","3 м","brick","shell",177,"discrete","central","грузопассажирский","фиброцементные панели","нет","70","astana"
177,"ЖК Turan Palace в Астане",340000,"Строящийся","Первая очередь - II квартал 2023 г.Вторая очередь - I квартал 2024 г.Третья очередь - I квартал 2025 г.","Астана, Есильский р-н, ул. Туран, 83/1","ТОО ""Safi-k-Group""","https://krisha.kz/complex/show/nur-sultan/turanpalace/","business","17 этажей","3 м","monolithic","pre-finish",203,"discrete","central","грузовой, пассажирский","Не указано","surface","Не указано","astana"
178,"ЖК Riviera в Астане",240000,"Строящийся","IV квартал 2023 г.","Астана, 189-я улица","Жануя Инвест","https://krisha.kz/complex/show/nur-sultan/riviera/","comfort","13 этажей","2.8 м","brick","pre-finish",348,"discrete","central","грузопассажирский","облицовочный кирпич","surface","348","astana"
179,"ЖК SANCY в Астане",299000,"Строящийся","III квартал 2023 г.","Астана, Алматы р-н, ул. Жумекен Нажимеденова, 39","Asyl Tas Qala","https://krisha.kz/complex/show/nur-sultan/sancy/","comfort","9 этажей","2.7 м","monolithic","pre-finish",410,"both","central","грузопассажирский","фиброцементные панели","surface","Не указано","astana"
180,"ЖК Saratan в Астане",320000,"Строящийся","IV квартал 2023 г.","Астана, Алматы р-н, ул. А91","GBG","https://krisha.kz/complex/show/nur-sultan/saratan/","comfort","9-12 этажей","2.7 м","monolithic","pre-finish",344,"na","central","пассажирский","Не указано","underground","Не указано","astana"
181,"ЖК Shabyt в Астане",534800,"Строящийся","II квартал 2023 г.","Астана, ул. Орынбор","BI Group","https://krisha.kz/complex/show/nur-sultan/shabyt/","comfort","20 этажей","3 м","monolithic","pre-finish",50,"discrete","na","пассажирский","вентилируемый фасад","both","4","astana"
182,"ЖК Shugyla в Астане",340000,"Строящийся","III квартал 2023 г.","Астана, ул. Казыбек Би - ул. Розы Баглановой","Rost Invest 1","https://krisha.kz/complex/show/nur-sultan/shugyla/","business","9 этажей","3 м","monolithic","pre-finish",168,"na","na","пассажирский","Не указано","underground","Не указано","astana"
183,"ЖК Snegiri в Астане",4e+05,"Строящийся","IV квартал 2023 г.","Астана, Сарыарка р-н, ул. Ш.Косшыгулулы 3/2","Туран НС","https://krisha.kz/complex/show/astana/snegiri/","comfort","9 этажей","3 м","brick","pre-finish",252,"discrete","central","Не указано","облицовочный кирпич","surface","252","astana"
184,"ЖК Sunland в Астане",370000,"Строящийся","I квартал 2023 г.","Астана, Нура р-н, пересечение просп. Улы Дала ул. Казыбек Би","Galamat","https://krisha.kz/complex/show/nur-sultan/sunland/","comfort","9-10 этажей","3 м","brick","shell",451,"discrete","na","грузовой, пассажирский","фиброцементные панели","surface","451","astana"
185,"ЖК Tamerlan в Астане",410000,"Строящийся","Первая очередь - II квартал 2023 г.Вторая очередь - IV квартал 2023 г.","Астана, Алматы р-н, ул. Ахмет Байтурсынулы, 8","Tumar Group","https://krisha.kz/complex/show/nur-sultan/tamerlan/","comfort","9-16 этажей","3 м","monolithic","pre-finish",298,"both","central","грузопассажирский","фиброцементные панели, клинкерный кирпич","surface","188","astana"
186,"ЖК Tengri в Астане",370000,"Строящийся","IV квартал 2023 г.","Астана, Нура р-н, ул. Кабанбай батыр, 57/2","Galamat","https://krisha.kz/complex/show/astana/tengri/","comfort","5-9 этажей","3.3 м","brick","shell",458,"discrete","central","грузопассажирский","Не указано","na","340","astana"
187,"ЖК Zauzar в Астане",330000,"Строящийся","IV квартал 2023 г.","Астана, Алматы р-н, район пересечения улиц Ш.Калдаякова и А78","GBG","https://krisha.kz/complex/show/nur-sultan/zauzar/","comfort","14 этажей","3 м","monolithic","pre-finish",448,"discrete","central","грузовой, пассажирский","фиброцементные панели, клинкерный кирпич","na","Не указано","astana"
188,"ЖК Atlant в Астане",643000,"Строящийся","Первая очередь - I квартал 2021 г.Вторая очередь - I квартал 2021 г.Третья очередь - II квартал 2022 г.Четвертая очередь - II квартал 2023 г.Пятая очередь - III квартал 2023 г.Шестая очередь - III квартал 2024 г.","Астана, Есильский р-н, ул. Сарайшык, 2 - ул. Кунаева","BI Group","https://krisha.kz/complex/show/nur-sultan/atlant/","business","8-21 этаж","3 м","monolithic","shell",246,"na","na","грузовой, пассажирский","Не указано","both","44","astana"
189,"ЖК New City в Астане",NA,"Строящийся","II квартал 2024 г.","Астана, Сарыарка р-н, район пересечения проспекта Абая и улицы С409","Ferrum","https://krisha.kz/complex/show/nur-sultan/newcity/","comfort","9-18 этажей","3 м","monolithic","shell",117,"discrete","central","грузопассажирский","фиброцементные панели","surface","117","astana"
0,"ЖК INJU в Атбасар",3e+05,"Строящийся","I квартал 2024 г.","Атбасар, ул. Виденеева - ул. Майкутова","Inju Invest","https://krisha.kz/complex/show/atbasar/inju/","comfort","5 этажей","2.7 м","monolithic","pre-finish",106,"na","central","грузопассажирский","Не указано","na","106","atbasar"
0,"ЖК Brooklyn в Атырау",540000,"Строящийся","II квартал 2024 г.","Атырау, мкр. Ак Шагала","SDN Construction","https://krisha.kz/complex/show/atyrau/brooklyn/","elite","4 этажа","3.3 м","monolithic","shell",327,"discrete","autonomous","грузопассажирский","вентилируемый фасад","surface","195","atyrau"
1,"ЖК Английский квартал в Атырау",4e+05,"Строящийся","IV квартал 2024 г.","Атырау, мкр. Ак Шагала, ул. №2, стр. № 17-Б","ТОО Каспий Экспо","https://krisha.kz/complex/show/atyrau/englishkvartal/","business","9 этажей","3 м","brick","shell",240,"discrete","autonomous","грузовой, пассажирский","Не указано","surface","240","atyrau"
