"ads","Название","price","Статус","date","Адрес","Застройщик","Ссылка","class","floor","ceiling","structure","finishing","Количество.квартир","kitchen","heating","Лифт","Фасад","parking","Квартир.в.продаже","city"
7,"ЖК Salem в Кокшетау",276000,"Строящийся","IV квартал 2024 г.","Кокшетау, район Сарыарка 22Д","M-Group Asia","https://krisha.kz/complex/show/kokshetau/salem/","comfort","12 этажей","2.7 м","brick","shell",228,"na","central","грузовой, пассажирский","облицовочный кирпич","na","120","kokshetau"
8,"ЖК Томирис в Кокшетау",320000,"Строящийся","I квартал 2024 г.","Кокшетау, улица Сарыарка 2д","Танатов К.О.","https://krisha.kz/complex/show/kokshetau/tomiris/","comfort","10 этажей","3 м","brick","pre-finish",108,"discrete","central","пассажирский","облицовочный кирпич","нет","50","kokshetau"
9,"ЖК Назым в Кокшетау",320000,"Строящийся","II квартал 2023 г.","Кокшетау, мкр. Сарыарка2Г","Танатов К.О.","https://krisha.kz/complex/show/kokshetau/nazym/","comfort","9 этажей","3 м","brick","pre-finish",72,"both","central","пассажирский","керамический кирпич","na","12","kokshetau"
10,"ЖК Абай в Кокшетау",260000,"Строящийся","Первая очередь - II квартал 2022 г.Вторая очередь - II квартал 2024 г.","Кокшетау, ул. Байтурсынова, 70/1","СК-Форт","https://krisha.kz/complex/show/kokshetau/abay/","comfort","9 этажей","2.75 м","brick","pre-finish",135,"both","central","пассажирский","облицовочный кирпич","нет","Не указано","kokshetau"
11,"ЖК TURKESTAN III в Кокшетау",280000,"Строящийся","Первая очередь - IV квартал 2023 г.Вторая очередь - II квартал 2024 г.","Кокшетау, ул. Островского, 33","ТОО КомфортСтрой2020","https://krisha.kz/complex/show/kokshetau/turkestan3/","comfort","9 этажей","2.7 м","brick","shell",144,"na","central","Не указано","Не указано","na","Не указано","kokshetau"
0,"ЖК Atameken Premium в Конаеве (Капчагай)",350000,"Строящийся","III квартал 2024 г.","Конаев (Капчагай), мкр.19, улица Соболева9А","One Group","https://krisha.kz/complex/show/konayev/atameken/","business","9 этажей","3 м","monolithic","shell",96,"discrete","central","грузопассажирский","фиброцементные панели","both","96","konaev"
1,"ЖК Маяк в Конаеве (Капчагай)",420000,"Строящийся","IV квартал 2024 г.","Конаев (Капчагай), ул. Д.А.Кунаева, участок №17/3","MDI Construction","https://krisha.kz/complex/show/konayev/mayak/","business","5 этажей","3 м","monolithic","shell",272,"discrete","central","пассажирский","Не указано","surface","150","konaev"
2,"ЖК Garden City в Конаеве (Капчагай)",3e+05,"Строящийся","IV квартал 2023 г.","Конаев (Капчагай), улица С.Сейфуллина,16Г","АТС-06","https://krisha.kz/complex/show/konaev/gardencity/","economy","4 этажа","2.7 м","monolithic","shell",528,"discrete","central","Не указано","фиброцементные панели","surface","528","konaev"
3,"ЖК Комфорт Капшагай в Конаеве (Капчагай)",310000,"Строящийся","Первая очередь - IV квартал 2023 г.Вторая очередь - II квартал 2024 г.","Конаев (Капчагай), ул. Сейфулина","GS Qurylys","https://krisha.kz/complex/show/kapchagay/komfort/","comfort","12 этажей","3.2 м","monolithic","pre-finish",280,"discrete","central","пассажирский","фиброцементные панели","both","280","konaev"
0,"ЖК BALGYN в Косшы",273000,"Строящийся","III квартал 2024 г.","Косшы, ул. Жамбыла Жабаева","Global Expert Development","https://krisha.kz/complex/show/kosshy/balgyn/","economy","5 этажей","2.8 м","brick","shell",36,"na","central","Не указано","декоративная штукатурка","surface","36","kosshy"
1,"ЖК Family House в Косшы",250000,"Строящийся","2024 г.","Косшы, мкр. 5Б, уч. 88/1","Relaible Building Company","https://krisha.kz/complex/show/nur-sultan/familyhouse/","comfort","5 этажей","3 м","brick","shell",700,"discrete","autonomous","пассажирский","фиброцементные панели, облицовочный кирпич","surface","397","kosshy"
2,"ЖК Dream Park в Косшы",260000,"Строящийся","II квартал 2023 г.","Косшы, Косшы, ул. Республики, уч. 91","Алтын Ұя 2021","https://krisha.kz/complex/show/dreampark/","comfort","5 этажей","2.7 м","brick","shell",160,"discrete","autonomous","Не указано","Не указано","surface","160","kosshy"
3,"ЖК Лесная поляна в Косшы",276000,"Строящийся","Первая очередь - IV квартал 2023 г.Вторая очередь - II квартал 2024 г.","Косшы, ЖМ Лесная поляна, 46","Global Expert Development","https://krisha.kz/complex/show/nur-sultan/lesnayapolyana/","economy","5 этажей","2.7 м","monolithic","pre-finish",109,"discrete","na","Не указано","декоративная штукатурка","нет","Не указано","kosshy"
0,"ЖК Tokyo в Костанае",460000,"Строящийся","II квартал 2026 г.","Костанай, ул. Гашека, 9","Строй Элит Дом","https://krisha.kz/complex/show/kostanay/tokyo/","business","8-16 этажей","3 м","monolithic","shell",92,"discrete","central","грузовой, пассажирский","Не указано","surface","92","kostanaj"
1,"ЖК Береке 2 в Костанае",340000,"Строящийся","III квартал 2025 г.","Костанай, мкр. Береке","БК-Строй","https://krisha.kz/complex/show/kostanay/mkrbereke/","comfort","5 этажей","2.7 м","brick","finish",186,"discrete","autonomous","пассажирский","облицовочный кирпич, керамический кирпич","na","186","kostanaj"
2,"ЖК Центральный в Костанае",410000,"Строящийся","IV квартал 2025 г.","Костанай, ул. Каирбекова, 60","ALPAMYS GROUP","https://krisha.kz/complex/show/kostanay/centralniy/","business","9 этажей","3 м","brick","pre-finish",112,"both","central","грузопассажирский","клинкерный кирпич","underground","100","kostanaj"
3,"ЖК Tumar Residence в Костанае",485000,"Строящийся","II квартал 2025 г.","Костанай, Пересечение улиц Набережная и проспекта Аль-Фараби","ALPAMYS GROUP","https://krisha.kz/complex/show/kostanay/tumarresidence/","business","14 этажей","3.15 м","monolithic","pre-finish",72,"discrete","central","грузопассажирский","Не указано","underground","30","kostanaj"
4,"ЖК Свободный в Костанае",380000,"Строящийся","II квартал 2025 г.","Костанай, ул. Тауелсиздик 30","ALPAMYS GROUP","https://krisha.kz/complex/show/kostanay/svobodnyi/","comfort","9 этажей","2.7 м","brick","pre-finish",49,"discrete","central","пассажирский","клинкерный кирпич","surface","31","kostanaj"
5,"ЖК Онер в Костанае",340000,"Строящийся","IV квартал 2025 г.","Костанай, мкрн Береке","Строй Элит Дом","https://krisha.kz/complex/show/kostanay/oner/","economy","6 этажей","2.7 м","brick","shell",275,"discrete","central","Не указано","керамический кирпич","na","275","kostanaj"
6,"ЖК Life Park в Костанае",NA,"Строящийся","IV квартал 2024 г.","Костанай, 70-й квартал, 48","ТОО RICH ГРУПП","https://krisha.kz/complex/show/kostanay/lifepark/","economy","8 этажей","2.7 м","brick","shell",4,"na","na","Не указано","Не указано","surface","4","kostanaj"
7,"ЖК Riviera в Костанае",395000,"Строящийся","III квартал 2024 г.","Костанай, ул. Гашека 5а","Строй Элит Дом","https://krisha.kz/complex/show/kostanay/riviera/","comfort","9 этажей","2.7 м","monolithic","pre-finish",152,"discrete","central","грузопассажирский","фиброцементные панели, hpl-панели","surface","152","kostanaj"
8,"ЖК Семья в Костанае",3e+05,"Строящийся","III квартал 2024 г.","Костанай, ул. Каирбекова, 453","Bolashak Construction","https://krisha.kz/complex/show/kostanay/semia/","comfort","5 этажей","2.8 м","monolithic","pre-finish",88,"na","na","Не указано","Не указано","surface","Не указано","kostanaj"
9,"ЖК Васильевский в Костанае",5e+05,"Строящийся","III квартал 2024 г.","Костанай, ул. Толстого, 30","ТОО Елена Д","https://krisha.kz/complex/show/kostanay/vasilevskiy/","comfort","9-19 этажей","2.8 м","monolithic","pre-finish",558,"na","central","пассажирский","Не указано","surface","Не указано","kostanaj"
10,"ЖК Favorit в Костанае",NA,"Строящийся","II квартал 2023 г.","Костанай, мкр. Юбилейный, 3","ТОО Капитал Спецстрой","https://krisha.kz/complex/show/kostanay/favorit/","comfort","9 этажей","2.7 м","panel","shell",72,"na","central","пассажирский","Не указано","surface","Не указано","kostanaj"
11,"ЖК Park House в Костанае",385000,"Строящийся","IV квартал 2023 г.","Костанай, пересечение улиц Гашека и Волынова","Легион Строй","https://krisha.kz/complex/show/kostanay/parkhouse/","comfort","6 этажей","3 м","brick","pre-finish",54,"discrete","central","Не указано","облицовочный кирпич","surface","20","kostanaj"
12,"ЖК Тобол в Костанае",430000,"Строящийся","IV квартал 2023 г.","Костанай, ул. Гашека 9","Строй Элит Дом","https://krisha.kz/complex/show/kostanay/tobol/","comfort","6 этажей","3 м","monolithic","pre-finish",93,"discrete","central","грузопассажирский","фиброцементные панели, hpl-панели","underground","93","kostanaj"
0,"ЖК Sievers Town в Отеген Батыре",325000,"Строящийся","III квартал 2026 г.","Отеген батыр, с. Жана Куат, улица 37, уч. №116","ТОО LoftSide","https://krisha.kz/complex/show/almaty/sieverstown/","comfort","4 этажа","3 м","monolithic","shell",1540,"discrete","autonomous","грузопассажирский","фиброцементные панели","surface","169","otegen.batyr"
